"Bout","Date","Site","Precip10","Precip30","Precip60","VWC5.10","VWC3.10","VWC1.10","VWC5.1","VWC3.1","VWC1.1","lhVar","lh10"
"CPER1","2020-08-14","CPER",0.18839248434238,0.272322446143155,0.271909706546275,NA,NA,NA,NA,NA,NA,1821.14853619718,NA
"NIWO1","2020-08-17","NIWO",0.292450331125828,0.662287719298246,0.417244228432564,0.0748260667903525,0.0748260667903525,0.0755774721189591,0.0684010869565217,0.0684010869565217,0.066084496124031,NA,NA
"SCBI1","2020-08-13","SCBI",1.88541484716157,0.161071593533487,-0.459446280991736,0.254209661835749,0.254209661835749,0.383755617977528,0.304205263157895,0.304205263157895,0.375539130434783,NA,NA
"UNDE1","2020-08-27","UNDE",4.18682254697286,2.54353300903405,3.82293255131965,0.137511965811966,0.137511965811966,0.26398631452581,0.138377514792899,0.138377514792899,0.298578571428571,4652.78490843652,220.757200884962
"WOOD1","2020-08-19","WOOD",0.121553235908142,1.127382904795,1.15482233502538,0.132550686037127,0.132550686037127,0.122156401384083,0.114046610169492,0.114046610169492,0.089162962962963,4002.69295690461,200.541196749503
"CPER2","2020-09-03","CPER",-0.339306889352818,-0.158977067407922,-0.19209022556391,NA,NA,NA,NA,NA,NA,NA,34.561546586923
"HARV1","2020-08-26","HARV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YELL1","2020-08-30","YELL",0.0336701461377871,-0.0822564102564103,-0.0822564102564103,0.0097274,0.0097274,0.00731180438448567,0.00878095238095238,0.00878095238095238,0.00854812030075188,NA,NA
"WOOD2","2020-09-10","WOOD",0.0295615866388309,0.545636743215031,0.729425906735751,0.0961643146796431,0.0961643146796431,0.0978530419880034,0.0960964788732394,0.0960964788732394,0.0806757575757576,5230.67144465972,88.4990765771715
"NIWO2","2020-09-14","NIWO",1.08873640167364,1.16885674547983,0.967265653495441,0.0884114728682171,0.0884114728682171,0.166937956698241,0.0982375,0.0982375,0.2057448,NA,NA
"SCBI2","2020-09-11","SCBI",3.8216617954071,2.03868241834607,2.06184648648649,0.21511737804878,0.21511737804878,0.380547448979592,NA,NA,NA,NA,NA
"OSBS1","2020-09-15","OSBS",3.31536305732484,3.8770756302521,2.7280995215311,0.183706242118537,0.183706242118537,0.197783584686775,0.238663402061856,0.238663402061856,0.28120303030303,9730.04357741216,NA
"UNDE2","2020-09-17","UNDE",2.07331941544885,3.66809457579972,3.06408116453463,0.141089495225102,0.141089495225102,0.263715294117647,0.148176068376068,0.148176068376068,0.247096666666667,5449.93455680638,151.829540549805
"CPER3","2020-09-24","CPER",-0.914505219206681,-0.26615149409312,-0.205069124423963,NA,NA,NA,NA,NA,NA,762.468122871355,37.6331778190587
"NIWO3","2020-08-05","NIWO",-0.784757396449704,0.642919397697077,0.445285714285714,0.0816523595505618,0.0816523595505618,0.137908595041322,0.0780302083333333,0.0780302083333333,0.123891156462585,NA,NA
"HARV2","2020-09-23","HARV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.886690073998
"WREF1","2020-10-01","WREF",7.60454279749478,2.63986431095406,2.57845378151261,0.105373333333333,0.105373333333333,0.144533333333333,0.105373333333333,0.105373333333333,0.144533333333333,NA,NA
"YELL2","2020-09-28","YELL",0.306137787056367,0.116107193229901,0.0184908108108108,0.00913164005805515,0.00913164005805515,0.00661484375,0.00871139240506329,0.00871139240506329,0.0089344537815126,NA,NA
"SCBI3","2020-10-12","SCBI",NA,-0.966184049079755,2.26472727272727,0.172148031496063,0.172148031496063,0.391232,NA,NA,NA,7702.2175413,219.153055677793
"UNDE3","2020-10-15","UNDE",3.43575782881002,3.13601111883252,2.67300989166274,0.161209586631486,0.161209586631486,0.249549619771863,0.1645944,0.1645944,0.176155263157895,3906.85025633913,59.9519345477852
"OSBS2","2020-10-14","OSBS",3.04774947807933,2.48786101459347,2.51912832929782,0.203809366925065,0.203809366925065,0.243826621338912,0.187722627737226,0.187722627737226,0.208223391812866,821.80617146244,216.087036967675
"WREF2","2020-10-20","WREF",9.75983298538622,5.74915481171548,3.54980512820513,0.181226490713587,0.181226490713587,0.32435504587156,0.206069934640523,0.206069934640523,0.311466666666667,NA,NA
"HARV3","2020-10-20","HARV",5.05463048016701,3.28707296137339,3.28707296137339,NA,NA,NA,NA,NA,NA,10729.9003714042,153.784102083168
"OSBS3","2020-11-19","OSBS",3.8824885177453,2.48262404447533,2.18799661876585,0.209032844932845,0.209032844932845,0.239559926082365,0.16490737704918,0.16490737704918,0.177307344632768,2687.70110342099,108.708922739956
"WREF3","2020-11-11","WREF",6.92071816283925,3.42544544822794,4.11223410696266,0.164278025751073,0.164278025751073,0.353817063492063,0.156108064516129,0.156108064516129,0.36396847826087,NA,148.094499205963
"YELL5","2021-08-24","YELL",2.07378343949045,1.61266036363636,1.51095397148676,0.0429990833333333,0.0429990833333333,0.0248619711042312,0.0543967213114754,0.0543967213114754,0.0394502958579882,2743.36706461985,127.918125737795
"SCBI5","2021-08-30","SCBI",3.11759498956159,3.02164102564103,3.02164102564103,0.19061199376947,0.19061199376947,0.219315941240479,0.167236290322581,0.167236290322581,0.229023913043478,8117.05442256838,326.305667778681
"WOOD5","2021-07-28","WOOD",-0.137887265135699,0.0791197771587744,0.757290557783449,0.0815603773584906,0.0815603773584906,0.0670121693121693,0.077,0.077,0.0564862745098039,1388.97747635375,NA
"TALL4","2021-08-25","TALL",3.03910714285714,2.88365714285714,2.78829350104822,NA,NA,NA,NA,NA,NA,NA,NA
"HARV5","2021-07-05","HARV",5.4120751565762,2.97576650451703,2.524,NA,NA,NA,NA,NA,NA,5342.79646936322,234.5905719064
"WOOD7","2021-10-21","WOOD",2.20921518987342,2.37238493723849,2.15848442044038,0.147588839568802,0.147588839568802,0.121128828828829,0.141656849315069,0.141656849315069,0.111089714285714,2628.89608733095,61.5290168364895
"CPER5","2021-07-07","CPER",1.39392,-0.230466898954704,-0.151382488479263,0.278019540229885,0.278019540229885,0.176733575464084,0.274566467065868,0.274566467065868,0.13338358974359,3611.3187422378,186.755477000807
"SJER4","2021-12-21","SJER",2.36011691022965,2.17204270462633,1.82781818181818,0.0852318982387475,0.0852318982387475,0.0954436231884058,0.0850482993197279,0.0850482993197279,0.0824612903225806,310.319531088461,62.0499563045175
"SCBI4","2021-07-29","SCBI",0.148509394572025,0.498145934676859,1.16940772532189,0.114652849162011,0.114652849162011,0.111393622674934,0.103207142857143,0.103207142857143,0.111770408163265,7199.1709380057,301.875609548825
"UNDE6","2021-10-18","UNDE",1.05389561586639,1.18979291174427,2.07822222222222,0.108356040892193,0.108356040892193,0.114852715939448,0.115403278688525,0.115403278688525,0.142321705426357,3691.83296570375,42.3567250760744
"HARV4","2021-08-12","HARV",0.118546972860125,2.49867595818815,4.54716996047431,0.140838020247469,0.140838020247469,0.104202830188679,0.10266347826087,0.10266347826087,0.112377941176471,8259.98622028809,234.502667410163
"SCBI6","2021-09-28","SCBI",6.0108679245283,5.39804592901879,4.29275304223336,0.231331505250875,0.231331505250875,0.242210346695558,0.230274838709677,0.230274838709677,0.257876041666667,9499.3667536437,NA
"UNDE4","2021-08-10","UNDE",1.97301043841336,2.26057309090909,2.00559314775161,0.145731675592961,0.145731675592961,0.219538147739802,0.159522429906542,0.159522429906542,0.22655487804878,4922.8518629666,237.39404409278
"UNDE7","2021-09-27","UNDE",1.72659707724426,2.95998888116748,2.24054148471616,0.0979524193548387,0.0979524193548387,0.140162663755459,0.0970588652482269,0.0970588652482269,0.115526966292135,3120.73957927028,137.201880477789
"TALL5","2021-07-22","TALL",3.756,2.11520628683694,3.660648,0.0665518072289157,0.0665518072289157,0.0625236220472441,NA,NA,NA,7476.43900668702,NA
"HARV6","2021-10-14","HARV",4.22732075471698,2.87996659707724,3.99390549662488,0.149960369163952,0.149960369163952,0.181753017241379,0.143774666666667,0.143774666666667,0.214481707317073,4390.71204506135,NA
"TALL1","2021-06-17","TALL",2.69741176470588,2.29697476568133,3.18338998621957,0.0932138579387187,0.0932138579387187,0.0840770036668413,0.0783257575757576,0.0783257575757576,0.0637287425149701,7219.16581984202,253.070909833961
"CPER7","2021-06-10","CPER",0.0204425887265136,1.05760111188325,1.43547826086957,0.237896257386737,0.237896257386737,0.112183426537875,0.230360773480663,0.230360773480663,0.1196,6077.51908698064,246.195134408752
"YELL4","2021-09-29","YELL",0.442959830866808,0.0540546601261387,0.628149855907781,0.0184,0.0184,0.0134482490272374,0.0199774193548387,0.0199774193548387,0.0117853535353535,1780.8731570628,NA
"UNDE5","2021-09-15","UNDE",5.89427974947808,2.81428769979152,2.45303867403315,0.064848195329087,0.064848195329087,0.102663811922754,0.114813636363636,0.114813636363636,0.112566666666667,3324.15923538045,123.790212737989
"WOOD4","2021-06-23","WOOD",1.70675574112735,0.969319415448852,0.808162881754111,0.112046160198183,0.112046160198183,0.139316448801743,0.127161616161616,0.127161616161616,0.2029675,2006.10221435106,128.087391307686
"CLBJ4","2021-07-30","CLBJ",-0.193102296450939,1.06137039610841,1.18396624472574,0.0952538549400343,0.0952538549400343,0.127586435921422,0.0840115577889447,0.0840115577889447,0.107536734693878,7332.33873589852,374.196218016239
"CLBJ5","2021-08-27","CLBJ",9.74229645093946,4.72197915218902,3.03601746724891,0.159830186078566,0.159830186078566,0.17904343786295,0.179428275862069,0.179428275862069,0.163018644067797,3933.38745025162,360.580527779405
"SJER5","2021-08-21","SJER",NA,NA,NA,0.0120513468013468,0.0120513468013468,0.00635885031303358,0.0125432,0.0125432,0.00636625766871166,467.285663585758,35.9644444211109
"TALL6","2021-09-27","TALL",3.23831847133758,4.26841536273115,3.80486046511628,NA,NA,NA,NA,NA,NA,NA,NA
"WOOD6","2021-09-22","WOOD",2.79542379958246,1.60925086865879,1.37120127795527,0.131762012142238,0.131762012142238,0.101270578512397,0.125470987654321,0.125470987654321,0.103060962566845,2856.57923162388,127.654275907829
"CPER4","2021-07-28","CPER",-1.33828810020877,-0.224546341463415,-0.462594752186589,0.160493926111459,0.160493926111459,0.0350705146705147,0.152990163934426,0.152990163934426,0.0287279069767442,3783.19640012714,93.5458919066994
"CLBJ6","2021-09-29","CLBJ",0.354237995824635,0.0675802640722724,2.43037974683544,0.0707553784860558,0.0707553784860558,0.0889753931544866,0.065129197080292,0.065129197080292,0.09081,4663.41402475417,196.893257011875
